[00:00.000 --> 00:12.320]  안녕하십니까. 강의 시작하겠습니다.

[00:12.320 --> 00:18.920]  오늘은 Python 강의의 NumPy랑 Pandas 모듈을 이해를 돕기 위해서

[00:18.920 --> 00:25.520]  머신러닝 개념과 데이터 분석 개념에 대해서 강의를 진행하도록 하겠습니다.

[00:25.520 --> 00:35.400]  지금 화면에 나와있듯이 현재 저희는 4차 산업혁명 시대에 살고 있고 그 근간이 되는 빅데이터 그리고 빅데이터를 활용한 AI 기술을

[00:35.400 --> 00:45.640]  저희는 사용하고 있는데 흔히 AI라고 하는 것은 지금 페이지에 나와있듯이 머신러닝, 딥러닝

[00:45.640 --> 00:49.240]  이렇게 구성되어 있습니다.

[00:50.040 --> 00:54.160]  머신러닝이라는 것은 우리말로는 기계학습이라고 하는데

[00:54.160 --> 01:02.000]  정의하기 힘든 데이터를 활용해서 룰을 정립하는 데 많은 도움을 주었습니다.

[01:02.000 --> 01:12.200]  과거에는 화면에 나와있듯이 인풋데이터랑 그리고 알고리즘이라고 불리는 프로그램을 통해서

[01:12.200 --> 01:19.480]  컴퓨터가 결과를 산출하는 작업을 했다면 현재는 인풋데이터와 그리고 아웃풋데이터를 통해서

[01:19.480 --> 01:26.560]  제가 알고리즘을 만드는 역할을 하고 있습니다. 이 역할을 하는 중추적인 것이 머신러닝이고

[01:26.560 --> 01:34.360]  인풋데이터와 그리고 아웃풋데이터를 통해서 알고리즘 혹은 프로그램을 만든다.

[01:34.360 --> 01:47.440]  이건 예전에 수학시간을 생각해보면 정말 많이 해봤던 작업인데 이게 인풋과 아웃풋으로 그에 해당하는 함수를 만드는 것이라고 생각하시면 됩니다.

[01:47.440 --> 01:55.440]  단편적으로 머신러닝, 딥러닝, 성공기능은 함수를 만드는 작업이라고 생각하시면 됩니다.

[01:55.480 --> 02:04.360]  인풋과 아웃풋을 넣고 그것을 결정짓는 함수를 만드는 작업이 머신러닝, 딥러닝, AI입니다.

[02:04.360 --> 02:16.680]  단순하게 지금 그림에 나와있듯이 y는 3x라는 단순한 수식은 데이터 형태가 일정한 경우에는 10배 이렇게 찾아낼 수 있는 함수인데

[02:16.680 --> 02:31.600]  복잡한 데이터에서 이런 관계식을 설정하기가 굉장히 힘들겠죠. 그래서 보통 인간은 여러가지 식을 가정하고 하나하나 인풋데이터와 아웃풋데이터를 넣어가면서

[02:31.600 --> 02:44.160]  정답을 찾아가는데 머신러닝은 이런 데이터를 통해서 식을 하나하나 넣어가면서 계속 그 함수를 업데이트 해가는

[02:44.160 --> 02:53.120]  것이라고 생각하면 됩니다. 여기서 머신러닝, 기계학습에서의 러닝은 즉 학습은

[02:53.120 --> 02:55.680]  데이터를

[02:58.920 --> 03:11.040]  데이터를 통해서 계속 식을 업데이트 해 나가는 것을 학습이라고 생각하시면 되는데 이 학습의 수학적인 개념은 제가 앞으로 수업시간에 설명을

[03:11.040 --> 03:20.080]  하도록 하겠습니다. 그럼 머신러닝이 왜 갑자기 현대 데이터 시대에 많이 쓰였을까요?

[03:20.080 --> 03:30.080]  앞서 말했듯이 과거의 방법과는 다른 머신러닝이란 방법으로 다양한 분석법적인 접근이 이 시대에는 가능해졌는데

[03:30.080 --> 03:35.840]  예를 하나 들어 볼게요

[03:36.840 --> 03:47.960]  이게 사람의 행동을 모바일 액티비티 트래커라는 앱을 통해서 분석하는 건데

[03:47.960 --> 03:57.840]  y-axis, x-axis, z-axis의 추구에 따라 데이터가 다양하게 들어오는 건데

[03:57.920 --> 04:08.400]  조깅할 때, 걸을 때, 앉았을 때, 일어섰을 때의 데이터가 이렇게 다양하게 들어옵니다. 과거의 일반적인 방법은 이런 데이터를 보고

[04:08.400 --> 04:18.040]  워킹이라고 생각하시면 이런 맥스값이나 밍값, 그리고 조깅도 맥스값이나 밍값, 시팅도 맥스밍이 있을 수 있고

[04:18.040 --> 04:27.120]  그리고 에버리지나 그런 표준 편창 이런 걸 이용해서 분석을 하는 거였는데

[04:27.120 --> 04:37.320]  근데 이것에 대한 분석이 모든 사람 그리고 모든 장소에 대해 일반성을 갖는다는 것은 어렵습니다.

[04:37.320 --> 04:41.840]  그리고 여러가지 제약사항이 또 있는데

[04:41.840 --> 04:51.000]  예를 들면 만약에 어떤 여자가 이 폰을 가방에 놔두고 혹은 앞주머니에 놔두고

[04:51.000 --> 04:58.800]  움직였을 때 이것에 대한 스탠다드 디비에이션이나 에버리지 값이나 맥스밍이 다르게 나올 수 있겠죠.

[04:58.800 --> 05:04.280]  그래서 과거의 방식은 이러한 한계성이 있는데

[05:04.280 --> 05:10.920]  현재의 머신러닝 방법은 이 한계성을 어느 정도 보완을 한다고 생각하시면 됩니다.

[05:10.920 --> 05:17.400]  그래도 이런 휴리스틱 경험적인 방법이 꼭 안좋은 건 아니고

[05:17.400 --> 05:23.000]  지금도 사실 머신러닝, 딥러닝 쪽에서 휴리스틱한 방법을 베이스로 두고

[05:23.000 --> 05:31.320]  그 근간을 두고 머신러닝이랑 딥러닝을 이렇게 덧붙여서 결과를 내는 방식도 많거든요.

[05:32.240 --> 05:39.040]  그래서 적절한 조화가 필요한데 아무튼 이런 제약사항을 극복하기 위해서

[05:39.040 --> 05:42.400]  머신러닝을 사용한다고 했을 때

[05:42.680 --> 05:50.040]  예를 들면 기시전 트리를 사용한다고 했을 때는 이런 밍값이나 스탠다드 디비에이션이나 맥스밍을 다양하게

[05:50.040 --> 05:57.560]  가지마다 이렇게 정도를 설정해 주어서 데이터를 분석하는 방법이 있을 수 있겠습니다.

[05:57.600 --> 06:04.080]  혹은 또 다양한 방법이 많은데 기시전 트리 말고도 랜덤 포레스트나

[06:04.080 --> 06:13.160]  라이브 베이스 클래시파이어나 서버드 레코머징, 미뉴 리그레이션, 히든 마크로 모델 등등의 모델들이 많은데

[06:13.160 --> 06:22.840]  이런 모델들은 제가 수업하면서 직접 구현도 해보고 설명도 앞으로 더 하면서

[06:22.840 --> 06:32.040]  얘기를 나누도록 하겠습니다. 그런데 이런 머신러닝 방법도 단점이 있는데 이런 머신러닝은

[06:32.040 --> 06:41.960]  사전 지식이 없으면 데이터를 프리 프로세싱 하거나 피처 익스트랙션, 전처리 하거나 특히 추출을 하기에

[06:42.280 --> 06:52.080]  힘이 들 수 있습니다. 예를 들면 리니어 리그레이션으로 머신러닝을 한다고 가정하면

[06:52.080 --> 07:03.520]  이 데이터가 리니어 한지 먼저 파악을 해야 되고 기시전 트리는 아까 보여드렸듯이 이런 노드의 갯수나 이런 가지의 갯수

[07:03.520 --> 07:09.160]  그리고 깊이 등을 설정을 해야 되고 혹은 KNN

[07:09.160 --> 07:17.320]  K-Nearest Neighborhood 알고리즘 같은 경우에는 어떤 특징으로 군집을 설정할지에 대한

[07:17.320 --> 07:24.120]  데이터의 특징 추출이 필수적입니다. 특징 추출이라는게 피처 익스트랙션이라고 생각하시면 되고

[07:24.120 --> 07:33.840]  이 피처 익스트랙션이 기반이 돼야 머신러닝이 이루어지는 건데 이 단점을 또 해결하기 위해서 딥러닝이라는 방법을 씁니다.

[07:33.840 --> 07:42.280]  딥러닝은 앞서 머신러닝에서 필수적이라고 말씀드렸던 피처 익스트랙션을 할 필요 없이

[07:42.280 --> 07:48.880]  딥러닝 내부에서는 학습을 하면서 그 노드마다 웨이츠랑 바이어스를 업데이트 하면서

[07:48.880 --> 07:54.080]  피처 익스트랙션이 자동으로 되고 데이터를 분석을 할 수 있습니다.

[07:54.520 --> 08:00.680]  이 딥러닝도 제가 계속 수업시간에 좀 더 수학적인 이론이랑

[08:00.680 --> 08:08.360]  그리고 모델을 보여드리면서 좀 더 자세히 설명을 하도록 하겠습니다.

[08:08.360 --> 08:15.760]  딥러닝이랑 머신러닝을 데이터에 적절하게 사용하는 것이 현재 주요한 테스트이고

[08:15.760 --> 08:23.720]  일반적으로 딥러닝은 데이터가 많을수록 그리고 모델 사이즈가 클수록 더 좋은 성능을 가진다고 합니다.

[08:23.720 --> 08:30.880]  실제로도 이미지나 보이스나 이런 데이터가 많고 모델 사이즈가 큰 경우에

[08:30.880 --> 08:40.120]  정말 좋은 성능을 가집니다. 하지만 적절한 데이터에 적절한 딥러닝 알고리즘을 활용해야 되는 것이 중요하며

[08:40.120 --> 08:47.160]  이를 위해서는 어떤 데이터 형태가 있고 어떤 머신러닝 딥러닝 방법론이 있는지 먼저 아는게 중요하겠죠.

[08:47.160 --> 08:55.520]  그래서 딥러닝 머신러닝 3가지 타입에 대해서 설명을 드리고 그리고 각각 타입에 대한

[08:55.520 --> 09:07.880]  프로젝트를 짧게 소개를 드리도록 하겠습니다. 머신러닝 딥러닝은 슈퍼바이즈드 러닝, 언슈퍼바이즈드 러닝, 레인포스먼트 러닝 이렇게 세가지로 구분을 지을 수 있는데

[09:07.880 --> 09:19.040]  제가 각각의 타입에 대해서 설명도 드리고 그리고 수행했던 프로젝트도 얘기를 드리면서 좀 더 이해를 쉽게

[09:19.040 --> 09:24.160]  해드리도록 하겠습니다. 슈퍼바이즈드 러닝은

[09:25.880 --> 09:35.320]  한국말로는 교사학습, 의도학습 이라고 하는데 답이 주어져 있는 데이터와

[09:35.320 --> 09:40.480]  그리고 목적이 분명한

[09:40.560 --> 09:50.640]  테스크를 수행하는데 사용하는 러닝 방법인데 예를 들면 입력으로 탐이랑 그림

[09:50.640 --> 10:01.120]  강아지 그리고 고양이를 이렇게 넣었을 때 아웃풋은 아 이게 숫자고 그리고 개고 고양이 인지를 미리 아는 데이터를 넣어서

[10:01.120 --> 10:12.200]  이 y나 fx에 fx를 구하는게 슈퍼바이즈드 러닝입니다. 좀 더 슈퍼바이즈드 러닝을 쉽게 설명하면 슈퍼바이즈드 러닝은

[10:12.200 --> 10:22.480]  두가지 타입이 있는데 클래시피케이션이랑 리그레이션 두가지 타입이 있습니다. 클래시피케이션은 이렇게 녹색이랑

[10:22.480 --> 10:33.160]  파란색을 이런식으로 구분을 하는 분류형의 문제와 그리고 이렇게 이미지로 데이터가 이런식으로 선별적으로 되어 있을 때

[10:33.160 --> 10:45.040]  이런 리니어한 식을 나타내거나 혹은 2차식을 형성하는 그런 리그레이션 회기식 모델을 추출하는 두가지 경우가 있습니다.

[10:45.040 --> 10:57.600]  오른쪽 예를 보면 이거는 클래시피케이션 문제겠죠. 빨간색은 아이리스 이런 꽃이 있고 그리고 세토사라는 꽃이 있고 버지니아

[10:57.600 --> 11:08.760]  라는 꽃이 있는데 이런식으로 데이터가 왔을 때 이 세모는 여기군에 속하고 그 네모 빨간색은 여기에 속하고

[11:08.760 --> 11:19.280]  노란색 동그라미는 여기에 속하고 이런식으로 분류형의 문제에 속합니다. 이런 클래시피케이션이랑 리그레이션 문제는

[11:19.280 --> 11:28.000]  슈퍼바이즐러닝을 많이 사용합니다. 일반적으로 여러분들이 만약에 어떤 데이터를 가지고 예측을 하거나

[11:28.000 --> 11:35.200]  경향을 보고 싶을 때는 슈퍼바이즐러닝을 사용합니다.

[11:35.760 --> 11:43.280]  예전에도 제가 짧게 설명 드렸는데 이런 문제가 슈퍼바이즐러닝의

[11:43.280 --> 11:53.480]  하나의 예제입니다. 이 알고리즘의 개발 목적은 공조복합제어 기술을 통해서 건물에너지 절감 및

[11:53.480 --> 11:56.720]  최적환경 구현이었는데

[11:56.720 --> 12:03.840]  답이 나와있는 데이터라고 해야할까? 그게 무슨 말이냐면

[12:04.440 --> 12:16.640]  지금 데이터는 각각 시간에 대해서 그러니까 만약에 12시에는 20도, 새벽 1시에는 18도, 새벽 2시에는 17도,

[12:16.640 --> 12:23.640]  16도, 15도 이런식으로 시간에 따르면 다 데이터가 있고 그리고

[12:23.640 --> 12:29.280]  이제 새벽 6시, 7시에도 다 데이터가 있잖아요.

[12:29.280 --> 12:40.320]  근데 이제 이거가 하고자 하는 목표는 다음날 새벽 6시에 몇도, 다음날 아침 9시에 몇도 이런식으로 예측을 하면서

[12:40.320 --> 12:49.840]  그거에 알맞은 제어를 하는 건데 각각 시간에 대해서 데이터가 다 정답이 있는 레이블이 있는 데이터 세트였으니까

[12:49.840 --> 13:03.000]  이거는 prediction, regression 예측을 회기 모델로 구현하는 supervised learning이 될거고

[13:03.000 --> 13:12.280]  예전에도 설명을 드렸는데 기존의 알고리즘은 만약에 아침 8시 출근이면

[13:12.280 --> 13:25.960]  이미대로 새벽 6시에 난방을 켭니다. 근데 지금 여기서 하고자 하는 것은 아침 8시에 정확한 온도를 맞추기 위해서는 굳이 새벽 8시에 미리 켜서

[13:25.960 --> 13:37.200]  이만큼의 낭비되는 에너지를 만들기 싫다는 거죠. 그래서 이 최적 시작점을 인공지능을 통해서 학습을 하고

[13:37.200 --> 13:45.160]  학습 데이터가 실내온도, 외기온도 그리고 출근시간 이런식으로 되고

[13:45.160 --> 13:53.040]  이런 제어 값은 시오톤 온도, 외기온도, 실내온도 이런 걸로 제어를 하는데

[13:53.040 --> 14:02.680]  사실 여기서 복합제어까지 가기 전에 그 최적점의 난방 시작 시간과 난방 종료 시간을

[14:02.680 --> 14:07.600]  산출하는 것이 이 프로젝트의 목표였습니다.

[14:08.960 --> 14:16.320]  그래서 이 프로젝트는 Artificial Neural Network, ANN 이라고 하기도 하고

[14:16.320 --> 14:23.320]  MLP 멀티레이어 펄셉트론 이라고도 하는데 그냥 가장 기본적인 딥러닝

[14:23.320 --> 14:30.440]  유럴 네트워크의 모델을 사용해서 최적 시간을 설정한 프로젝트였습니다.

[14:30.440 --> 14:40.320]  이 인공신경망이 어떻게 작동하고 동작하는지는 수업하면서 하나하나 알려드리도록 하고

[14:40.320 --> 14:47.440]  그리고 실제로도 파이썬으로도 구현하면서 각각 인풋 데이터가 뭐고

[14:47.440 --> 14:54.680]  데이터가 뭔지는 하나하나 해보면서 제가 설명을 드리도록 하겠습니다.

